0	0
1	3.38519e-130
2	6.39872e-88
3	1.10942e-57
4	3.84343e-36
5	8.61255e-21
6	7.65973e-10
7	0.0501922
8	19259.7
9	1.88574e+08
10	1.34107e+11
11	1.45863e+13
12	4.1273e+14
13	4.44494e+15
14	2.3972e+16
15	7.90123e+16
16	1.83573e+17
17	3.29988e+17
18	4.7875e+17
19	5.53528e+17
20	4.76356e+17
21	2.72642e+17
22	9.15119e+16
23	1.63858e+16
24	1.52352e+15
25	7.67785e+13
26	2.25622e+12
27	4.12374e+10
28	4.91428e+08
29	3.95244e+06
30	22023
31	86.7691
32	0.245687
33	0.00050652
34	7.68439e-07
35	8.65316e-10
36	7.28407e-13
37	4.61054e-16
38	2.20506e-19
39	8.00098e-23
40	2.21006e-26
41	4.66076e-30
