output1,output2,output3,output4,output5,output6,output7,output8
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],N_total [#/m³],,
0.877116478621237,107.234372812328,0.002,5.87307691414054e-09,1.45208654496804,1.01594508508259e+17,,
particle size,N in droplet core at breakup,N in droplet surface shell at breakup,particle size gas phase,N after breakup,N final,binMidPoints [m],dN/(dlogDp*N_total) [-]
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³],[m],[-]
8.15906298010643e-20,1.60141343566994e-20,1.22573395200205e-15,3.85488105033121e-20,3.79764550436248e-26,1.17237233924847e-25,,
1.16065062597747e-19,3.71887821066553e-23,3.29532689539672e-18,5.48368129409542e-20,8.81907245401452e-29,2.83770360380763e-28,,
1.65105953816809e-19,7.39641345079099e-26,7.57689393008444e-21,7.80069738666212e-20,1.75401028017801e-31,5.87929509460415e-31,,
2.34868059135373e-19,1.26229046661902e-28,1.49300641235896e-23,1.10967206981556e-19,2.99343792738314e-34,1.04467844922094e-33,,
3.34106698921483e-19,1.85173301622101e-31,2.52589700107082e-26,1.57854104766861e-19,4.39126174896203e-37,1.59479789086975e-36,,
4.75276573047641e-19,2.33863529344363e-34,3.67524122552542e-29,2.24552091284851e-19,5.54591813123772e-40,2.09504240340169e-39,,
6.7609485717314e-19,2.54644996346807e-37,4.60616755850006e-32,3.19431932257143e-19,6.03873680615332e-43,2.37181992173786e-42,,
9.61764753025496e-19,2.39367710778445e-40,4.97950535991464e-35,4.54401287299059e-19,5.67644613489216e-46,2.31715608657921e-45,,
1.36813855385578e-18,1.94479821530848e-43,4.64923775658151e-38,6.46399151268398e-19,4.61195968183487e-49,1.95590377432025e-48,,
1.94621719776934e-18,1.36722349061342e-46,3.75349522534733e-41,9.1952174089136e-19,5784036426.84613,5778577261.44684,,
2.76855101423623e-18,8.32528371218281e-50,2.62310598305681e-44,1.30804663080506e-18,4215963573.15387,4217883355.27554,,
3.93834497363069e-18,4.39498006763836e-53,1.58836786669479e-47,1.86073467572597e-18,1.04224030621094e-58,3534260.56697078,,
5.60241117160742e-18,2.01319408396138e-56,8.34136311818257e-51,2.64694962083889e-18,4.77415593754318e-62,2413.63778113462,,
7.96959411780947e-18,8.00810434133534e-60,3.80223048147546e-54,3.7653634269623e-18,1.89906870848846e-65,0.924056168193439,,
1.13369812491645e-17,2.76826959931451e-63,1.50554099528205e-57,5.3563398507796e-18,6.56476732649747e-69,0.000196035140063603,,
1.61271881533706e-17,8.32181673205062e-67,5.1821731443444e-61,7.61955045072383e-18,1.97346351645785e-72,2.49371506171442e-08,,
2.29413978922636e-17,2.17688281524477e-70,1.55162413567937e-64,1.08390338717353e-17,5.16233288212658e-76,2.2929393299232e-12,,
3.26348109940764e-17,4.95811545034814e-74,4.0437687021891e-68,1.54188434124043e-17,1.17578411862442e-79,1.57684080626686e-16,,
4.64239752791284e-17,9.8379297199922e-78,9.17831415408593e-72,2.19337567341859e-17,2.33299963277333e-83,8.31122402528935e-21,,
6.60394656830802e-17,1.70146085052892e-81,1.81531300511719e-75,3.12014119092366e-17,4.0349012977756e-87,3.42026552213823e-25,,
9.39430757810927e-17,2.56615743613826e-85,3.13020165862894e-79,4.43849230630205e-17,6.08547176748264e-91,1.11494693068226e-29,,
1.33636779097582e-16,3.37665867952182e-89,4.70795131600882e-83,6.31388541339396e-17,8.00752158588455e-95,2.91267207723055e-34,,
1.90102235626079e-16,3.87812344953111e-93,6.17909385591762e-87,8.98168708254059e-17,9.19671195172236e-99,6.1561622209948e-39,,
2.704260027372e-16,3.88923689582461e-97,7.08001101420072e-91,1.27767131594669e-16,9.22306675081073e-103,1.06112505788785e-43,,
3.84688916022342e-16,3.40709068163961e-101,7.08487690106022e-95,1.81752489993359e-16,8.07968905585648e-107,1.50173644595289e-48,,
5.47231259614694e-16,2.60818906007301e-105,6.19417575215915e-99,2.5854824481451e-16,6.18514696947699e-111,1.75514221583407e-53,,
7.78452508057424e-16,1.7453483190225e-109,4.73306706273714e-103,3.67792457198832e-16,4.13897751176887e-115,1.70260691279517e-58,,
1.10737151186789e-15,1.02130888763498e-113,3.16196460369753e-107,5.23195551644151e-16,2.42196613273066e-119,1.37697406859941e-63,,
1.57526843655069e-15,5.22759131511465e-118,1.84742452395895e-111,7.44261008898954e-16,1.23968852853943e-123,9.32081444091447e-69,,
