output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.457452873652112,47281.2437647162,3.16699999999976
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,0,0
2.894780502167e-28,0,0
4.63123982773747e-28,0,-5.57968675321664e-314
7.40932942099265e-28,0,1.11593744945646e-313
1.18538802806088e-27,0,3.34781260128158e-313
1.89645337280983e-27,1.35229844031103e-274,3.67995421170149e-271
3.03405746481612e-27,1.42795434306338e-232,3.3356061162531e-229
4.85406329087193e-27,1.6592743384781e-196,2.68525253134955e-193
7.76581548142113e-27,1.60185606435111e-165,1.36430850220689e-162
1.24242076128033e-26,5.99696138050124e-139,2.34080048100337e-136
1.98769768835393e-26,3.13528215999236e-116,5.69330846800582e-114
3.18003547865385e-26,7.33337772000031e-97,6.71825196793562e-95
5.08760748918098e-26,2.20883023690206e-80,1.12219623856151e-78
8.13945320349928e-26,2.26649741009016e-66,6.98212690483637e-65
1.30219751804438e-25,1.95179658972423e-54,3.94412579016978e-53
2.08333205389267e-25,3.04163806483518e-44,4.31279672805465e-43
3.33303695225498e-25,1.57122057599091e-35,1.65473507246042e-34
5.33238823083433e-25,4.4208281647976e-28,3.62693371402777e-27
8.53106780742502e-25,1.03295109310468e-21,6.86964414143595e-21
1.36485032192595e-24,2.87285611486832e-16,1.60087759074273e-15
2.18356768849036e-24,1.29422367182374e-11,6.21124107619243e-11
3.49339980628135e-24,1.22946817930324e-07,5.19887706142744e-07
5.58894614114933e-24,0.000308659926009358,0.00117190823910941
8.94152421732638e-24,0.248420759157021,0.860198673247632
1.43051754856583e-23,75.6154171967673,241.881800662813
2.28862597362253e-23,10026.4945509556,29943.5807058183
3.66147821981691e-23,653642.593682925,1838162.55444454
5.85784785662176e-23,23235045.1461784,61954534.8213945
9.37172897154197e-23,492090893.988531,1250909105.6271
1.49934423129061e-22,6698923383.65359,16302205647.6688
2.39873894212133e-22,62555321565.4143,146178083125.234
3.83764341261142e-22,423683298009.685,952584260801.188
6.13968727640513e-22,2183364295417.1,4728087562993.47
9.82263222481112e-22,8920527010453.6,18608448837704.6
1.57148238143475e-21,29938045681419.4,60116351578520.9
