output1,output2,output3,output4,output5,output6,output7,output8
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],N_total [#/m³],,
0.877116478621237,22.8919057416055,0.001,4.07144341083298e-09,1.48066773465424,7.45437673189442e+16,,
particle size,N in droplet core at breakup,N in droplet surface shell at breakup,particle size gas phase,N after breakup,N final,binMidPoints [m],dN/(dlogDp*N_total) [-]
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³],[m],[-]
5.34523515548332e-29,0,0,5.05088531873744e-29,0,0,1.12946270589708e-10,0
5.34523515548332e-29,0,0,5.05088531873744e-29,0,0,1.42190930212764e-10,0
7.60375369614756e-29,3.50607940658461e+16,5.7558551814271e+16,5.05088531873744e-29,64940530733.1987,9224160462.3233,1.790077753715e-10,0
1.08165625252926e-28,4.28300902555841e+15,7.66659641757908e+15,5.11045962142203e-29,11181648921.9274,1604368876.92538,2.25357437323923e-10,0
1.53868772633761e-28,2.98227073317647e+17,5.79659596319186e+17,7.26977861685618e-29,780610813092.098,147957349154.724,2.83708204583898e-10,0
2.1888283950154e-28,7.21506377059285e+17,1.51619760191493e+18,1.0341473185027e-28,1893586537079.12,453920384991.681,3.57167468285167e-10,0
3.11367255409855e-28,2.27088983389978e+18,5.13595671062924e+18,1.47110487503239e-28,5976040004164.64,1746544922820.4,4.49647202090384e-10,6.30873741468118e-07
4.42929048080004e-28,5.75076704803735e+18,1.39308108199692e+19,2.0926898079448e-28,15174576692457.9,5242506896169.58,5.66072289053733e-10,3.5065598120607e-05
6.30079554687977e-28,1.37137204615312e+19,3.54027204735164e+19,2.97691259583355e-28,36283095683262.6,14436589632019.6,7.12642789602238e-10,0.000407184496825379
8.96306636371455e-28,2.9407837411062e+19,8.04759451841897e+19,4.23474543125705e-28,78007668907001.6,34968036788363.9,8.97164117362141e-10,0.00287833006119232
1.27502246410987e-27,5.86055520361373e+19,1.69059270906938e+20,6.0240495111114e-28,155842442771709,77249376569802,1.12946270589708e-09,0.0136263674228379
1.81375683054863e-27,1.08927955150475e+20,3.29308306802481e+20,8.56938701544317e-28,290326506236559,156638182424500,1.42190930212764e-09,0.0475950544864312
2.58012225898975e-27,1.90774223402796e+20,6.00785260969476e+20,1.21902042280688e-27,509536602077103,295216211317300,1.790077753715e-09,0.131488749380125
3.670299545789e-27,3.16991492768798e+20,1.03347248886638e+21,1.73409228518012e-27,848207750933722,521721331066523,2.25357437323923e-09,0.301009328937122
5.22110869315689e-27,5.02956869028465e+20,1.68714470771862e+21,2.46679710795755e-27,1.34791305531194e+15,871626389535687,2.83708204583898e-09,0.580739428984099
7.42718016490897e-27,7.65669614919584e+20,2.6269344263976e+21,3.50909119649055e-27,2.05456925722683e+15,1.38529078240173e+15,3.57167468285167e-09,0.920922956622159
1.05653815011201e-26,1.12193213350886e+21,3.91571196689544e+21,4.99178509070125e-27,3.01349458582616e+15,2.10415872698528e+15,4.49647202090384e-09,1.10111840870515
1.50295648934994e-26,1.58414078654818e+21,5.59951074321628e+21,7.10096061814176e-27,4.25810808709361e+15,3.06246675689984e+15,5.66072289053733e-09,0.838260560488821
2.13799966299335e-26,2.1522940183903e+21,7.68316479340332e+21,1.01013246332118e-26,5.78861988730185e+15,4.27190023002393e+15,7.12642789602238e-09,0.318295160425855
3.04136719282989e-26,2.80063419736293e+21,1.0093211320216e+22,1.43694303957757e-26,7.53657313074391e+15,5.69610688749936e+15,8.97164117362141e-09,0.0554343149675337
4.32643398487323e-26,3.45958980716135e+21,1.26314216294659e+22,2.04409359560786e-26,9.31707406751324e+15,7.21535355909008e+15,1.12946270589708e-08,0.0136116377032014
6.15447916634148e-26,4.00014909535053e+21,1.49373652636324e+22,2.90778305925989e-26,1.07875772268948e+16,8.59167818035741e+15,1.42190930212764e-08,0.00786630553991549
8.75492702335576e-26,4.24012732029718e+21,1.65038371108139e+22,4.13640663905336e-26,1.14644336885192e+16,9.46524125610627e+15,1.790077753715e-08,0.0052103422971798
1.24541403281488e-25,4.00230634563568e+21,1.6806477870964e+22,5.8841596965489e-26,1.08758075276398e+16,9.43472590198623e+15,2.25357437323923e-08,0.00300863938555121
1.77163796910519e-25,3.2357070640196e+21,1.55677444261319e+22,8.37038965356999e-26,8.88035817843491e+15,8.26129864992737e+15,2.83708204583898e-08,0.00118116700465904
2.52020694393583e-25,2.13131855334558e+21,1.30271710765376e+22,1.1907124647498e-25,5.97216896237395e+15,6.12688788651762e+15,3.57167468285167e-08,0.000177356043995233
3.58506825379809e-25,1.07578256044815e+21,9.93326017576794e+21,1.693823385039e-25,3.16314334754555e+15,3.6982491696145e+15,4.49647202090385e-08,7.47538214390647e-05
5.09986468187359e-25,3.87522489797928e+20,7.11810945388316e+21,2.40951341708499e-25,1.296196454298e+15,1.76507614678142e+15,5.66072289053733e-08,3.04250028683359e-06
7.25470700477392e-25,9.22497448160353e+19,5.01145549806729e+21,3.4276034670397e-25,455444882420577,686471752994707,7.12642789602238e-08,3.31780960713857e-08
1.03200333750386e-24,1.3467055745746e+19,3.58717470549368e+21,4.87586640686806e-25,192940758181290,265021496082640,8.97164117362141e-08,1.08052872684537e-10
1.46805499921397e-24,1.13675641246369e+18,2.64978029326053e+21,6.93606289240839e-25,120217066980574,137907450269000,1.12946270589708e-07,1.30257625731299e-13
2.08835127019061e-24,5.42549880875445e+16,2.03330207879983e+21,9.86675278462906e-25,90177462851859,95727282857373.6,1.42190930212764e-07,6.54300944684094e-17
2.97074089870055e-24,1.51132767729815e+15,1.6222916871835e+21,1.40357450650482e-24,71843293097874.3,74514043623661.2,1.790077753715e-07,1.46253078066132e-20
4.2259660111714e-24,26389409889388.2,1.33076861514879e+21,1.99662587916387e-24,58930103325394.9,60505873566492.9,2.25357437323923e-07,1.52878956309811e-24
6.01156052868416e-24,307642062190.23,1.09662536786627e+21,2.84025884117411e-24,48561540511576.3,49605837987849.1,2.83708204583898e-07,7.77731201742071e-29
8.55162107184483e-24,2473023949.03429,8.82240163262545e+20,4.04035145945615e-24,39067982562151.3,39826231733807.4,3.57167468285167e-07,1.98882421656842e-33
