output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.386394114244271,42225.3378330068,1.9379999999999
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,1.72358124298304e-49,1.13045767535376e-48
7.79598121656092e-25,1.07913410276919e-40,6.17220225377074e-40
1.21388760363606e-24,5.59679520024752e-33,2.84935981851283e-32
1.89010603454392e-24,3.23596726656631e-26,1.49203991070479e-25
2.94302438802271e-24,2.69451271069942e-20,1.1417537787587e-19
4.58249028900984e-24,4.02929835479224e-15,1.58845679979155e-14
7.13525084410802e-24,1.3087348957848e-10,4.84978147162085e-10
1.1110073649353e-23,1.08763842042474e-06,3.82123246586559e-06
1.72991446538945e-23,0.00266289122641327,0.00893303687327707
2.69359515698436e-23,2.16826226197375,6.98557197062708
4.19411191413801e-23,651.700831005007,2025.86616935293
6.53051914750549e-23,79158.3279048622,238302.250783693
1.01684650312201e-22,4224377.46494881,12350287.4902926
1.58329956249559e-22,108744321.254332,309366604.537391
2.46530572402229e-22,1535260640.95046,4255570314.0834
3.83864965093363e-22,13913597289.8264,37600215724.4139
5.9770400883877e-22,91589007325.2936,241303224213.153
9.30666027557493e-22,466892417851.897,1198498733630.63
1.44911066688744e-21,1915467377668.5,4784906901676.14
2.25636443440204e-21,6523952511444.22,15831118160660.4
3.51331377041744e-21,18941977595573.5,44544978721097.8
5.47046986790319e-21,47980986125875.2,109026273128761
8.51789579046938e-21,108214654284095,236756072142591
1.32629464103247e-20,221189764964354,464048515944975
2.06513148094585e-20,415912420284003,832967567331904
3.21555098064306e-20,728047241627613,1.38541527147545e+15
5.00683283583419e-20,1.1961836616415e+15,2.15331332403806e+15
7.79598121656094e-20,1.85116243681464e+15,3.14213904915894e+15
1.21388760363606e-19,2.69137321802194e+15,4.30411172660686e+15
1.89010603454393e-19,3.6370954122274e+15,5.50119145748878e+15
2.94302438802271e-19,4.47242697745057e+15,6.47450254985796e+15
4.58249028900985e-19,4.83256542758879e+15,6.8709145230823e+15
7.13525084410804e-19,4.35820728638e+15,6.40048480959183e+15
1.1110073649353e-18,3.05970752737678e+15,5.10772619336314e+15
1.72991446538946e-18,1.53372135961583e+15,3.48610462998175e+15
2.69359515698436e-18,498126966115832,2.13555459714826e+15
4.19411191413802e-18,95303290356715.4,1.28565451949487e+15
6.5305191475055e-18,10093699886246.4,808021556749030
1.01684650312201e-17,717871191932.207,529176106735656
1.5832995624956e-17,142846331526.456,354847558676486
2.4653057240223e-17,87114828291.6181,241290234984906
3.83864965093364e-17,59617415140.233,165594896650789
5.97704008838771e-17,41180987992.7978,114392174681566
9.30666027557496e-17,28583104205.6548,79398897326933
1.44911066688744e-16,19902713066.4194,55286751706056.2
2.25636443440204e-16,13876441330.0893,38546911182495.5
3.51331377041745e-16,9663521346.26103,26844106477375
5.47046986790321e-16,6705814475.00495,18628020930558
8.5178957904694e-16,4635912531.18152,12878094284224.1
1.32629464103247e-15,3209379194.13484,8915338832131.18
2.06513148094585e-15,2253246825.8182,6259288369200.01
3.21555098064307e-15,1632880216.13713,4535955125301.14
5.0068328358342e-15,1238485684.60733,3440353183810.62
7.79598121656096e-15,984353305.138099,2734393088059.96
1.21388760363606e-14,809747042.439609,2249356392382.72
1.89010603454393e-14,675524941.51582,1876509385074.4
2.94302438802272e-14,558078581.229148,1550268693578.1
4.58249028900986e-14,444475947.005661,1234708368096.99
7.13525084410805e-14,330530996.890839,918196532622.864
1.1110073649353e-13,220620483.013896,612886648073.097
1.72991446538946e-13,125932356.966671,349853992401.474
2.69359515698437e-13,58082438.8117225,161366877687.193
4.19411191413803e-13,20354860.0472426,56553919693.8057
6.53051914750552e-13,5111072.90837808,14201558574.435
1.01684650312201e-12,879373.146908708,2443594075.33513
1.5832995624956e-12,101793.858823244,282884631.850358
2.4653057240223e-12,8041.87766545385,22349850.0205365
3.83864965093365e-12,449.960913289214,1250598.18383789
5.97704008838773e-12,18.5284939884463,51499.8723997574
9.30666027557498e-12,0.576870167894529,1603.48656813836
1.44911066688745e-11,0.0138199873350196,38.4162395646238
2.25636443440205e-11,0.000258089004940059,0.717456661877426
3.51331377041745e-11,3.79760385199078e-06,0.0105573264465459
5.47046986790322e-11,4.44314958312483e-08,0.0001235243642039
8.51789579046943e-11,4.16606105483049e-10,1.15825478618844e-06
1.32629464103247e-10,3.15184471393529e-12,8.76313555171774e-09
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
