output1,output2,output3,output4,output5,output6
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],total number concentration [#/m³]
0.877142095813331,89.3285440529824,1.52e-05,6.05319685298945e-09,1.45112431817094,1.0120901299068e+17
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
3.34106698921483e-19,2.93567277896174e-97,2.37683725890678e-25,1.70521409470375e-19,7.06023339871262e-103,2.92137446368898e-76
4.75276573047641e-19,7.56581671814544e-103,3.69048881165238e-28,2.4257170354845e-19,1.81956355165988e-108,2.27011075860318e-80
6.7609485717314e-19,1.50736945509966e-108,4.93178583482898e-31,3.45065358919753e-19,3.62519291910243e-114,1.51385540053349e-84
9.61764753025496e-19,2.32329644830177e-114,5.68048921286132e-34,4.90865588131699e-19,5.58748076317e-120,8.67419942388298e-89
1.36813855385578e-18,2.77200706535422e-120,5.64678629438391e-37,6.98270688098578e-19,6.66662068216026e-126,4.27545751102706e-93
1.94621719776934e-18,2.5618463551653e-126,4.85039072821425e-40,9.93310522567827e-19,6029970678.17479,6023944163.11409
2.76855101423623e-18,1.83496352814805e-132,3.60408541196889e-43,1.41301333574621e-18,3970029321.82522,3972525900.62121
3.93834497363069e-18,1.01917300693427e-138,2.31900335714708e-46,2.01005289044472e-18,2.45109037839312e-144,3524611.93251929
5.60241117160742e-18,4.39167729855713e-145,1.2933204581074e-49,2.85935915831361e-18,1.05618946913447e-150,2476.6911568189
7.96959411780947e-18,1.46885047314605e-151,6.25732646804967e-53,4.06752222048397e-18,3.53255554997116e-157,0.980038675908587
1.13369812491645e-17,3.8148716691993e-158,2.62845620250461e-56,5.78616959189154e-18,9.17468886985735e-164,0.000215783514006393
1.61271881533706e-17,7.69691919064418e-165,9.59329826983775e-60,8.2309958572634e-18,1.8510934299768e-170,2.88724177611788e-08
2.29413978922636e-17,1.20686290802906e-171,3.04434237926465e-63,1.17088328861338e-17,2.90248077782965e-177,2.79549786764987e-12
3.26348109940764e-17,1.47117080627473e-178,8.40542511973726e-67,1.66561580072269e-17,3.53813590401084e-184,2.02590290580948e-16
4.64239752791284e-17,1.39471044979221e-185,2.02036571918305e-70,2.36938730153243e-17,3.35425029987132e-191,1.12592298910846e-20
