output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.306856003237012,62702.9493738003,3.62799999999971
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-7.90505033345994e-323,0
2.894780502167e-28,-9.38724727098368e-323,0
4.63123982773747e-28,-1.53160350210786e-322,-1.05356166418873e-313
7.40932942099265e-28,2.42092166462211e-322,2.10712332832806e-313
1.18538802806088e-27,3.95252516672997e-322,5.26780832084486e-313
1.89645337280983e-27,3.49744394193954e-277,1.81953585663319e-271
3.03405746481612e-27,2.19509437179531e-234,1.57061742564538e-229
4.85406329087193e-27,9.10821941200923e-198,1.21675364064705e-193
7.76581548142113e-27,1.85419709762041e-166,6.00983327283586e-163
1.24242076128033e-26,1.0281971417045e-139,1.01200130098128e-136
1.98769768835393e-26,6.72933330786934e-117,2.4367629488606e-114
3.18003547865385e-26,1.82824568683532e-97,2.86856594607832e-95
5.08760748918098e-26,6.15930237367429e-81,4.81131916947464e-79
8.13945320349928e-26,6.91029765078854e-67,3.02163969512145e-65
1.30219751804438e-25,6.40468420577046e-55,1.72965942288719e-53
2.08333205389267e-25,1.06141443604642e-44,1.92158168344061e-43
3.33303695225498e-25,5.77515186127385e-36,7.50152004341629e-35
5.33238823083433e-25,1.69805810101718e-28,1.67375141107409e-27
8.53106780742502e-25,4.11898168003996e-22,3.22625333066469e-21
1.36485032192595e-24,1.18269970092961e-16,7.64507663310174e-16
2.18356768849036e-24,5.47493769772979e-12,3.01267598971252e-11
3.49339980628135e-24,5.32307372748091e-08,2.55760448471837e-07
5.58894614114933e-24,0.000136309171412254,0.000583880269571446
8.94152421732638e-24,0.111577016091094,0.433394194782779
1.43051754856583e-23,34.4561324218975,123.056055252318
2.28862597362253e-23,4625.50383994287,15360.5633759934
3.66147821981691e-23,304734.915283242,949537.945547215
5.85784785662176e-23,10930235.8969026,32187164.4914102
9.37172897154197e-23,233273215.259586,652838581.514465
1.49934423129061e-22,3196467777.8261,8537190336.74412
2.39873894212133e-22,30016364435.5012,76732717137.8966
3.83764341261142e-22,204270745944.306,500712882049.655
6.13968727640513e-22,1056951402233.05,2486129876346.57
9.82263222481112e-22,4333303020126.65,9778408143374.65
1.57148238143475e-21,14585587876967.2,31537726597030.5
2.51414979064568e-21,41559826403573.5,85922372058525.2
4.02228446496024e-21,102930019136009,202847374197925
6.43508687400263e-21,226655912844212,424109145878142
1.02952298467956e-20,452290659152239,799787410028463
1.64709132407445e-20,830413132158036,1.38059380639779e+15
2.63511341680799e-20,1.41785176441629e+15,2.20524717322813e+15
4.21580917703118e-20,2.26238656432908e+15,3.27975849285842e+15
6.74469907206858e-20,3.36471532496885e+15,4.54388008629983e+15
1.07905656215678e-19,4.6047769878376e+15,5.82516793665009e+15
1.72633804991466e-19,5.64809440783118e+15,6.80499198605572e+15
2.76189698214369e-19,5.94290864140303e+15,7.0696909869404e+15
4.41864496953624e-19,5.02763378866527e+15,6.34038732014423e+15
7.06920768335599e-19,3.13545527091874e+15,4.80378630753502e+15
1.13097335529232e-18,1.29839231698867e+15,3.11885880150677e+15
1.80939758410654e-18,319667216286854,1.86640821931098e+15
2.89478050216699e-18,42494372511417.6,1.12801678269217e+15
4.63123982773746e-18,2887380609677.5,712517670196555
7.40932942099263e-18,101341726755.205,464869746429639
1.18538802806088e-17,1957940645.33993,309027961110840
1.89645337280982e-17,22225190.1159513,207827367153988
3.03405746481612e-17,154176.309815095,140876931332466
4.85406329087192e-17,669.238237964095,96052014625788.1
7.76581548142111e-17,1.85076118206695,65789950689859.8
1.24242076128033e-16,0.0033103703629032,45230249775259.9
1.98769768835393e-16,3.87930591143075e-06,31186497230250.4
