output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.158899024059391,57499.4147855504,3.90399999999968
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-2.17388884170148e-322,-5.19986559641718e-313
2.894780502167e-28,4.29114013300679e-84,1.25362318067382e-83
4.63123982773747e-28,-5.53590217136756e-75,-1.52387167931203e-74
7.40932942099265e-28,-2.78476386880798e-67,-7.34663172960704e-67
1.18538802806088e-27,-1.3875948239989e-59,-3.55926550501655e-59
1.89645337280983e-27,-2.53047197177662e-76,-6.38836750386797e-76
3.03405746481612e-27,-1.80927184376246e-71,-4.54189570341967e-71
4.85406329087193e-27,6.28278636671172e-96,1.58180330538421e-95
7.76581548142113e-27,8.07641044084038e-93,2.05382798033466e-92
1.24242076128033e-26,1.2103305173732e-87,3.12684142508139e-87
1.98769768835393e-26,2.10949603573409e-72,5.56216288967011e-72
3.18003547865385e-26,1.90991523270217e-59,5.15822680008441e-59
5.08760748918098e-26,1.86127010789161e-48,5.16267022194929e-48
8.13945320349928e-26,3.83450832851152e-39,1.09433788586102e-38
1.30219751804438e-25,3.16997623255764e-31,9.31859355925457e-31
2.08333205389267e-25,1.81048469059907e-24,5.48438813033661e-24
3.33303695225498e-25,1.07849612344565e-18,3.36602221041619e-18
5.33238823083433e-25,9.32922875898792e-14,2.99778974968105e-13
8.53106780742502e-25,1.55040230193229e-09,5.12316017388313e-09
1.36485032192595e-24,6.28424727897255e-06,2.13194232754942e-05
2.18356768849036e-24,0.00762063066365049,0.0264886231668012
3.49339980628135e-24,3.29347016224743,11.7011308880981
5.58894614114933e-24,589.276693750685,2134.08444808253
8.94152421732638e-24,49624.4999525425,182633.622771819
1.43051754856583e-23,2195166.36665949,8182467.11870872
2.28862597362253e-23,56033945.8865231,210769046.461044
3.66147821981691e-23,894538518.683754,3381917409.28461
5.85784785662176e-23,9568708260.10488,36203456842.4691
9.37172897154197e-23,72758261435.3979,274206969363.836
1.49934423129061e-22,413724130916.555,1545247280694.56
2.39873894212133e-22,1837643035677.42,6764468447444.76
3.83764341261142e-22,6619361621442.61,23869623268386.7
6.13968727640513e-22,19971557779657.9,70084065860370.1
9.82263222481112e-22,51898943532174.7,175950113394934
1.57148238143475e-21,118979575433744,386623162207225
2.51414979064568e-21,245580649687500,758398423734635
4.02228446496024e-21,464037565769921,1.34988203208358e+15
6.43508687400263e-21,812728454544100,2.20786670806507e+15
1.02952298467956e-20,1.32890236253593e+15,3.34670669894167e+15
1.64709132407445e-20,2.02931271011593e+15,4.71813235080401e+15
2.63511341680799e-20,2.8687968947348e+15,6.17075616621355e+15
4.21580917703118e-20,3.67640405699855e+15,7.41405574669479e+15
6.74469907206858e-20,4.11568603944932e+15,8.03915677074878e+15
1.07905656215678e-19,3.80241335011452e+15,7.68416010329894e+15
1.72633804991466e-19,2.67906381433503e+15,6.3474012996322e+15
2.76189698214369e-19,1.30376661097598e+15,4.55167655934185e+15
4.41864496953624e-19,392504604293481,2.9778127055677e+15
7.06920768335599e-19,65858604600995.3,1.91530785298079e+15
1.13097335529232e-18,5723495010484.17,1.262054244934e+15
1.80939758410654e-18,253923717125.889,851756199566447
2.89478050216699e-18,6040772610.45777,583582333991404
4.63123982773746e-18,82683321.6553615,403674977733594
7.40932942099263e-18,683621.843192147,281048897885124
1.18538802806088e-17,3509.89988141147,196604992315799
1.89645337280982e-17,11.4108145617879,138042556930525
3.03405746481612e-17,0.0238692705288756,97212215960433.4
4.85406329087192e-17,3.25671939501455e-05,68611795980250.3
7.76581548142111e-17,2.93237709463855e-08,48478315398216.8
1.24242076128033e-16,1.76011342790083e-11,34221499872615.8
1.98769768835393e-16,7.10460135835486e-15,24064753710402.6
3.18003547865384e-16,1.94319385126384e-18,16808536400185.2
5.08760748918097e-16,3.6252995100617e-22,11656133450155.2
8.13945320349926e-16,4.64015383116408e-26,8069043353269.33
1.30219751804438e-15,4.09522095186865e-30,5651083876176.58
2.08333205389266e-15,2.50325007543447e-34,4078069578178.81
3.33303695225497e-15,1.0639108903133e-38,3077811846733.19
5.33238823083432e-15,3.15479374922611e-43,2437967976132.39
8.531067807425e-15,6.54662688019793e-48,2010925532092.83
1.36485032192594e-14,9.53257680504193e-53,1703496257643.44
2.18356768849036e-14,9.76300424183801e-58,1458858684776.37
3.49339980628134e-14,7.04786977287254e-63,1241168156184.58
5.58894614114931e-14,3.59298700771875e-68,1027122894769.38
8.94152421732636e-14,1.29572601759902e-73,804358630651.905
1.43051754856583e-13,3.31048886874638e-79,574671414546.194
2.28862597362253e-13,6.00052159897061e-85,357079388087.887
3.66147821981691e-13,7.72579817041109e-91,181827558268.727
5.85784785662174e-13,7.07367220740067e-97,70871223267.5491
9.37172897154195e-13,4.61041219972542e-103,19730673509.9121
1.49934423129061e-12,2.14109268769361e-109,3706281562.94185
2.39873894212133e-12,7.09097389818824e-116,456361719.445088
3.83764341261142e-12,1.67608090895003e-122,37151032.4600975
6.13968727640512e-12,2.82956907048368e-129,2074542.06747028
9.8226322248111e-12,3.41409791322115e-136,82811.927024921
1.57148238143475e-11,2.94601721466453e-143,2436.40032986658
2.51414979064568e-11,1.81908470567167e-150,53.9342958662939
4.02228446496023e-11,8.04205376414958e-158,0.912402710656567
6.43508687400262e-11,2.54683374806235e-165,0.0119468607669701
1.02952298467956e-10,5.78047513788589e-173,0.00012239393223326
