output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.379929343819369,56477.2928414639,3.42699999999973
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-6.42285339593621e-323,0
2.894780502167e-28,8.39911597930119e-323,0
4.63123982773747e-28,-1.13635098543487e-322,-7.1411498952309e-314
7.40932942099265e-28,1.87744945419674e-322,7.1411498952309e-314
1.18538802806088e-27,3.0138004396316e-322,2.85645995804295e-313
1.89645337280983e-27,3.88424519629803e-298,4.39558479276829e-289
3.03405746481612e-27,2.72296587933259e-252,1.20269233867177e-244
4.85406329087193e-27,4.57111499256736e-213,1.2874878828473e-206
7.76581548142113e-27,1.57903670065145e-179,4.32294809517304e-174
1.24242076128033e-26,7.06526648955771e-151,2.70020169185315e-146
1.98769768835393e-26,1.97557334661448e-126,1.43846557348077e-122
3.18003547865385e-26,1.33116383615893e-105,2.41196376680907e-102
5.08760748918098e-26,6.98544949112263e-88,3.96044336075197e-85
8.13945320349928e-26,8.20082164135416e-73,1.76949735594569e-70
1.30219751804438e-25,5.65979616273867e-60,5.48931301432133e-58
2.08333205389267e-25,5.22118741706175e-49,2.61924452586401e-47
3.33303695225498e-25,1.23300755548514e-39,3.59755671939089e-38
5.33238823083433e-25,1.27191784702017e-31,2.37851001102512e-30
8.53106780742502e-25,9.02339850559883e-25,1.17118548722121e-23
1.36485032192595e-24,6.48549548292956e-19,6.2346898102885e-18
2.18356768849036e-24,6.57866562599096e-14,4.9375230748374e-13
3.49339980628135e-24,1.25078069072254e-09,7.64833937747262e-09
5.58894614114933e-24,5.68236527896042e-06,2.9301685985301e-05
8.94152421732638e-24,0.00759288575333764,0.0339497219523172
1.43051754856583e-23,3.56450184803164,14.1337925628105
2.28862597362253e-23,684.437178727865,2450.78484485291
3.66147821981691e-23,61221.0864021582,200877.199678765
5.85784785662176e-23,2851271.21019892,8673836.95408647
9.37172897154197e-23,76053258.7066293,216506683.449235
1.49934423129061e-22,1260553679.89691,3382608825.58193
2.39873894212133e-22,13922348735.8228,35411367014.8991
3.83764341261142e-22,108788100716.075,263328905440.032
6.13968727640513e-22,633116907139.726,1462356435847.45
9.82263222481112e-22,2868071591606.1,6330660401197.73
1.57148238143475e-21,10504930457494.4,22166160524382.1
2.51414979064568e-21,32144697099294.5,64793502539536.9
4.02228446496024e-21,84528565485886.9,162478071630926
6.43508687400263e-21,195718300650857,357779017614836
1.02952298467956e-20,407350464486246,705642522142053
1.64709132407445e-20,775153536734079,1.26702299688195e+15
2.63511341680799e-20,1.36602228328523e+15,2.09736799426669e+15
4.21580917703118e-20,2.24656703406712e+15,3.22732033908106e+15
6.74469907206858e-20,3.45156075346359e+15,4.6300671602433e+15
1.07905656215678e-19,4.91498139209799e+15,6.17088084805879e+15
1.72633804991466e-19,6.3596666131798e+15,7.55110614381612e+15
2.76189698214369e-19,7.21677285013094e+15,8.30635651616823e+15
4.41864496953624e-19,6.7974706882268e+15,7.97713137067999e+15
7.06920768335599e-19,4.9201951483544e+15,6.49490084065749e+15
1.13097335529232e-18,2.4824553214296e+15,4.44756623539292e+15
1.80939758410654e-18,782270774482170,2.68048234222721e+15
2.89478050216699e-18,138516775856821,1.56637580828449e+15
4.63123982773746e-18,12759013071998.8,952819966822571
7.40932942099263e-18,599059631209.769,605442256724957
1.18538802806088e-17,14993475633.5271,394940074434731
1.89645337280982e-17,214723032.635072,261619463405372
3.03405746481612e-17,1851670.71381101,175039546802499
4.85406329087192e-17,9896.69116493941,117940903677367
7.76581548142111e-17,33.4427598451527,79895249079929.3
1.24242076128033e-16,0.0726207604678584,54354726056169.1
1.98769768835393e-16,0.000102745883887596,37105250788226.1
3.18003547865384e-16,9.58426082089024e-08,25389144322842.3
5.08760748918097e-16,5.95499857928512e-11,17382966127496
8.13945320349926e-16,2.48643495084317e-14,11878523710011.5
1.30219751804438e-15,7.03046173311445e-18,8082022662422.83
2.08333205389266e-15,1.35522044631306e-21,5477625766969.81
3.33303695225497e-15,1.79140591951635e-25,3724932810853.97
5.33238823083432e-15,1.63213831043327e-29,2582472374915.38
8.531067807425e-15,1.02954655498041e-33,1862116308427.5
1.36485032192594e-14,4.51410888036319e-38,1413733160212.98
2.18356768849036e-14,1.38051738094207e-42,1125395123843.21
3.49339980628134e-14,2.95383184885621e-47,922127309992.166
5.58894614114931e-14,4.43385066912787e-52,758076726528.463
8.94152421732636e-14,4.68028861508205e-57,607237073268.171
1.43051754856583e-13,3.48169260992575e-62,457997907738.635
2.28862597362253e-13,1.82879296500812e-67,311861536044.506
3.66147821981691e-13,6.79419926899626e-73,181988474577.622
5.85784785662174e-13,1.7880486673785e-78,85554731588.9172
9.37172897154195e-13,3.33802413097655e-84,30285700069.2006
1.49934423129061e-12,4.42601477398374e-90,7572955784.44743
2.39873894212133e-12,4.17295080388832e-96,1276844156.2841
3.83764341261142e-12,2.80046574050623e-102,142947961.918762
6.13968727640512e-12,1.33901242478276e-108,10828488.4486741
9.8226322248111e-12,4.56544228620291e-115,576465.95775156
1.57148238143475e-11,1.11089089859028e-121,22350.4135668374
2.51414979064568e-11,1.93050070973718e-128,647.175246318886
4.02228446496023e-11,2.39758802746322e-135,14.244066649642
6.43508687400262e-11,2.12941436736032e-142,0.241596755949167
1.02952298467956e-10,1.35326558854273e-149,0.00319415698212954
1.64709132407444e-10,6.15719020137132e-157,3.32384451283719e-05
2.63511341680799e-10,2.00670326307858e-164,2.74500572382662e-07
4.21580917703117e-10,4.68700754527238e-172,1.81197648704506e-09
6.74469907206856e-10,7.84907908770876e-180,9.61897064589504e-12
1.07905656215678e-09,9.42844147219532e-188,4.12828203219858e-14
1.72633804991466e-09,8.12712402018085e-196,1.43901705131194e-16
2.76189698214368e-09,5.02895866876854e-204,4.09023764844941e-19
4.41864496953623e-09,2.23472274997414e-212,9.51316515525495e-22
7.06920768335598e-09,0,0
1.13097335529232e-08,0,0
