output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.18754057631361,46701.006672914,2.19799999999987
node volumes,particle number concentration in core,particle number concentration in surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,7.69830648355176e-36,1.93424577406918e-35
7.79598121656092e-25,5.80538800449922e-29,1.51968724996499e-28
1.21388760363606e-24,6.65057330960916e-23,1.81262184989725e-22
1.89010603454392e-24,1.43339937545099e-17,4.06322400899407e-17
2.94302438802271e-24,6.98911972770706e-13,2.05748087300879e-12
4.58249028900984e-24,9.03679398694789e-09,2.75757442553325e-08
7.13525084410802e-24,3.55269825231145e-05,0.000112125930266364
1.1110073649353e-23,0.0477738845563267,0.155547448181309
1.72991446538945e-23,24.3155030937735,81.4388328007701
2.69359515698436e-23,5109.86073854471,17548.9732150193
4.19411191413801e-23,477775.673737028,1676678.97017439
6.53051914750549e-23,21212810.1577209,75782281.7943183
1.01684650312201e-22,475665203.506661,1722838927.4052
1.58329956249559e-22,5803330051.25448,21217294507.732
2.46530572402229e-22,43092745532.8312,158284992252.324
3.83864965093363e-22,224772433109.004,825280886665.849
5.9770400883877e-22,920710415481.142,3360764850760.22
9.30666027557493e-22,3125139589058.72,11274307792425
1.44911066688744e-21,9053875374931.27,32077964862245.3
2.25636443440204e-21,22918490542823.7,79202157158724.9
3.51331377041744e-21,51704409274746.8,173004078055203
5.47046986790319e-21,105757050767211,339939031236303
8.51789579046938e-21,199019811938999,609511101453326
1.32629464103247e-20,348657867191822,1.00900992174362e+15
2.06513148094585e-20,573285229401567,1.55580594862397e+15
3.21555098064306e-20,887879955720452,2.24619198470416e+15
5.00683283583419e-20,1.29198346440345e+15,3.03950730149938e+15
7.79598121656094e-20,1.74781285497868e+15,3.83890335913475e+15
1.21388760363606e-19,2.15222657595012e+15,4.47923595800954e+15
1.89010603454393e-19,2.32998941687851e+15,4.74939191203218e+15
2.94302438802271e-19,2.10685061513227e+15,4.48435126743478e+15
4.58249028900985e-19,1.48443098033583e+15,3.71115384050295e+15
7.13525084410804e-19,747526867088361,2.70621662823694e+15
1.1110073649353e-18,244086087604243,1.8145525621596e+15
1.72991446538946e-18,46882238245966.6,1.19403789420987e+15
2.69359515698436e-18,4884949154888.84,802448576594936
4.19411191413802e-18,264950525989.237,551976324746728
6.5305191475055e-18,7639133795.01543,385443687663277
1.01684650312201e-17,125738838.395325,271754602837341
1.5832995624956e-17,1262631.024357,192859768390698
2.4653057240223e-17,8015.8852752768,137506310435259
3.83864965093364e-17,32.8289826106292,98351100275588.2
5.97704008838771e-17,0.0880913491540113,70455063420088.9
9.30666027557496e-17,0.000156927658402741,50438773303988.9
1.44911066688744e-16,1.8771131381887e-07,35983794899873.1
2.25636443440204e-16,1.52260725118908e-10,25517245612560.8
3.51331377041745e-16,8.44739555683341e-14,17984634034227.8
5.47046986790321e-16,3.22965956765463e-17,12663936690928.9
8.5178957904694e-16,8.56540828171574e-21,9017443795096.93
1.32629464103247e-15,1.58492066810841e-24,6600781493170.3
2.06513148094585e-15,2.05657658691277e-28,5035442575866.88
3.21555098064307e-15,1.87978747922329e-32,4018964825385.72
5.0068328358342e-15,1.21512436927935e-36,3334338612312.31
7.79598121656096e-15,5.57448624936842e-41,2840127912581.15
1.21388760363606e-14,1.820593463644e-45,2448141041838.31
1.89010603454393e-14,4.24469859045887e-50,2102324810856.25
2.94302438802272e-14,7.08234638253694e-55,1765971317452.35
4.58249028900986e-14,8.47539768446306e-60,1417976091172.26
7.13525084410805e-14,7.28872714385125e-65,1056031358810.13
1.1110073649353e-13,4.51253330674611e-70,701480821368.252
1.72991446538946e-13,2.01445660433028e-75,395670343295.474
2.69359515698437e-13,6.49364380554659e-81,178774249810.102
4.19411191413803e-13,1.51348168517969e-86,60726016526.639
6.53051914750552e-13,2.55350726663481e-92,14596603171.1408
1.01684650312201e-12,3.12201837054704e-98,2372004676.5804
1.5832995624956e-12,2.76884716875616e-104,256084076.662297
2.4653057240223e-12,1.78286587660358e-110,18686061.6497253
3.83864965093365e-12,8.34168586372803e-117,959867.312974587
5.97704008838773e-12,2.8381521266704e-123,36152.2136526591
9.30666027557498e-12,7.02700750567402e-130,1026.4876625874
1.44911066688745e-11,1.26689912475986e-136,22.3682623638306
2.25636443440205e-11,1.66423484115009e-143,0.37910728718087
3.51331377041745e-11,1.59380220953117e-150,0.00505294864414707
5.47046986790322e-11,1.11335023325608e-157,5.34673816434842e-05
8.51789579046943e-11,5.67574271261383e-165,4.52833708756956e-07
1.32629464103247e-10,2.11256510917246e-172,3.09146315539441e-09
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
