output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.38582567831421,42697.5588521885,1.9389999999999
node volumes,particle number concentration in core,particle number concentration in surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,1.37299747617472e-53,1.81105769633461e-52
7.79598121656092e-25,3.0535699687128e-44,3.18354714307137e-43
1.21388760363606e-24,4.72740213025728e-36,4.0356028258468e-35
1.89010603454392e-24,7.02186815427534e-29,5.05654697488129e-28
2.94302438802271e-24,1.31961071510935e-22,8.2195912686962e-22
4.58249028900984e-24,3.98266755597297e-17,2.19146588543567e-16
7.13525084410802e-24,2.37076977345159e-12,1.17297800183255e-11
1.1110073649353e-23,3.32252397167011e-08,1.50018705920827e-07
1.72991446538945e-23,0.00012766925002603,0.000532620328991253
2.69359515698436e-23,0.153344331702762,0.597209500212454
4.19411191413801e-23,64.444236629256,236.302937119715
6.53051914750549e-23,10450.6995400923,36331.7529450896
1.01684650312201e-22,715477.436074842,2371598.53880205
1.58329956249559e-22,22827390.8238415,72467455.9773957
2.46530572402229e-22,387716379.75552,1182837973.64443
3.83864965093363e-22,4119755980.52652,12108213598.6004
5.9770400883877e-22,31095754403.6371,88187060161.7291
9.30666027557493e-22,178288270380.511,488280707508.412
1.44911066688744e-21,809031836501.884,2139790623236.72
2.25636443440204e-21,3003860336357.35,7667248764676.93
3.51331377041744e-21,9388313145919.68,23093111970804.9
5.47046986790319e-21,25319304539443,59889576279854
8.51789579046938e-21,60220902104061.9,136588012202930
1.32629464103247e-20,128751519947649,279027871373772
2.06513148094585e-20,251513324456701,518663841830848
3.21555098064306e-20,454992750819323,888740059720140
5.00683283583419e-20,769933071694147,1.41795965992057e+15
7.79598121656094e-20,1.22593868381248e+15,2.12029110724469e+15
1.21388760363606e-19,1.83773261968298e+15,2.97842368601101e+15
1.89010603454393e-19,2.57665007128678e+15,3.91923013647651e+15
2.94302438802271e-19,3.32579687789625e+15,4.78685113684587e+15
4.58249028900985e-19,3.84264290790605e+15,5.33825631514218e+15
7.13525084410804e-19,3.80601682278064e+15,5.31125683459479e+15
1.1110073649353e-18,3.04052702228931e+15,4.59717653415841e+15
1.72991446538946e-18,1.81042205193085e+15,3.41313614208772e+15
2.69359515698436e-18,731871563670249,2.21830542359393e+15
4.19411191413802e-18,181920995997435,1.35192562323349e+15
6.5305191475055e-18,25385315492188,835419474471401
1.01684650312201e-17,1867122899667.89,538105980096344
1.5832995624956e-17,71694639806.2753,357332273816859
2.4653057240223e-17,1515743086.66016,241604325868656
3.83864965093364e-17,19028151.2875807,165228123903863
5.97704008838771e-17,149002.904144102,113878974006067
9.30666027557496e-17,746.371981250532,78922821070284.6
1.44911066688744e-16,2.43281163003924,54899791952808.2
2.25636443440204e-16,0.00523364023418853,38252821682439.1
3.51331377041745e-16,7.52179215485383e-06,26630216219842.5
5.47046986790321e-16,7.29846174204471e-09,18476920305721.3
8.5178957904694e-16,4.82513375571914e-12,12772001024833.8
1.32629464103247e-15,2.19091614826462e-15,8838437085832.47
2.06513148094585e-15,6.88047721157309e-19,6199496637688.36
3.21555098064307e-15,1.50367369633034e-22,4485733477762.7
5.0068328358342e-15,2.29919075636991e-26,3396136263331.37
7.79598121656096e-15,2.47142835633526e-30,2695172470143.83
1.21388760363606e-14,1.87540775114648e-34,2215376270768.3
1.89010603454393e-14,1.00839432007879e-38,1848532710083.94
2.94302438802272e-14,3.85461422984616e-43,1529212319751.73
4.58249028900986e-14,1.05054865456018e-47,1221262883154.53
7.13525084410805e-14,2.04675303034178e-52,912249877018.172
1.1110073649353e-13,2.85717040898515e-57,612956163268.645
1.72991446538946e-13,2.86371072317716e-62,353135189418.107
2.69359515698437e-13,2.06467694300804e-67,164875940981.992
4.19411191413803e-13,1.07258336163914e-72,58668492977.2464
6.53051914750552e-13,4.02087377631773e-78,14996989746.3747
1.01684650312201e-12,1.08921064710853e-83,2630813789.78445
1.5832995624956e-12,2.13472410642328e-89,310479525.453584
2.4653057240223e-12,3.03038516266904e-95,24966155.270983
3.83864965093365e-12,3.11906911392159e-101,1418629.86392491
5.97704008838773e-12,2.32986245602289e-107,59215.9088600606
9.30666027557498e-12,1.26411682512182e-113,1866.64528341899
1.44911066688745e-11,4.9858546338026e-120,45.2391303292951
2.25636443440205e-11,1.43055623309618e-126,0.854099697354815
3.51331377041745e-11,2.98797627798884e-133,0.0126979846953618
5.47046986790322e-11,4.54599829945627e-140,0.000150034126910646
8.51789579046943e-11,5.04098719649353e-147,1.42008818367007e-06
1.32629464103247e-10,4.0763702261581e-154,1.0841416096108e-08
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
