output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.456906742583018,47721.612641018,3.16899999999976
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-4.94065645841247e-323,0
2.894780502167e-28,7.90505033345994e-323,0
4.63123982773747e-28,-9.88131291682493e-323,-5.54910804819302e-314
7.40932942099265e-28,1.58101006669199e-322,5.54910804819302e-314
1.18538802806088e-27,2.56914135837448e-322,1.66473241445791e-313
1.89645337280983e-27,4.60388465506183e-306,3.13086784040296e-295
3.03405746481612e-27,4.6748780775314e-259,6.54338056711792e-250
4.85406329087193e-27,7.72592495801628e-219,3.98759360664154e-211
7.76581548142113e-27,1.88746629901594e-184,5.92867249158865e-178
1.24242076128033e-26,4.50027709690179e-155,1.32275594946676e-149
1.98769768835393e-26,5.26317560395611e-130,2.09500832328429e-125
3.18003547865385e-26,1.20574350693838e-108,8.93025739470649e-105
5.08760748918098e-26,1.80187224902694e-90,3.26244850916998e-87
8.13945320349928e-26,5.17684129216121e-75,2.89578753560073e-72
1.30219751804438e-25,7.68038846540203e-62,1.62124248928413e-59
2.08333205389267e-25,1.36323956878483e-50,1.28700901205795e-48
3.33303695225498e-25,5.63384569481978e-41,2.74461582770323e-39
5.33238823083433e-25,9.37804576482078e-33,2.65606662324221e-31
8.53106780742502e-25,1.00164666025298e-25,1.81977438994534e-24
1.36485032192595e-24,1.02144955500164e-19,1.29013011450084e-18
2.18356768849036e-24,1.39736178471162e-14,1.30980926101416e-13
3.49339980628135e-24,3.43089078185153e-10,2.51603683800128e-09
5.58894614114933e-24,1.93951975069567e-06,1.16117783450413e-05
8.94152421732638e-24,0.0031241204972638,0.0158020022794192
1.43051754856583e-23,1.72062293745403,7.55849964264895
2.28862597362253e-23,378.704679845901,1477.29062651075
3.66147821981691e-23,38064.4111464415,134233.78686403
5.85784785662176e-23,1958497.48795613,6333883.65964453
9.37172897154197e-23,56878399.0312686,170634118.176676
1.49934423129061e-22,1013730522.76394,2846648202.01683
2.39873894212133e-22,11911511789.3131,31529117937.0285
3.83764341261142e-22,98118640315.3488,246103334938.539
6.13968727640513e-22,597249247258.743,1424862529213.33
9.82263222481112e-22,2810790913540.32,6393561330219.7
1.57148238143475e-21,10633387792631.8,23088553963696
2.51414979064568e-21,33438612866925.4,69311347373315.5
4.02228446496024e-21,89975192385547.3,177854236739893
6.43508687400263e-21,212382059080164,399537798369522
1.02952298467956e-20,449224523611435,801882573744680
1.64709132407445e-20,866569966603082,1.46230372009061e+15
2.63511341680799e-20,1.54533839110777e+15,2.45500728783971e+15
4.21580917703118e-20,2.56960589463111e+15,3.8285498503134e+15
6.74469907206858e-20,3.99306229581509e+15,5.56710255801004e+15
1.07905656215678e-19,5.76274574759912e+15,7.52824983791916e+15
1.72633804991466e-19,7.58895952409607e+15,9.36718111332663e+15
2.76189698214369e-19,8.8264188309988e+15,1.05121533094539e+16
4.41864496953624e-19,8.61039247956787e+15,1.03378041945769e+16
7.06920768335599e-19,6.54651779359349e+15,8.63437369494062e+15
1.13097335529232e-18,3.52921042449594e+15,6.0339610723849e+15
1.80939758410654e-18,1.21008531969842e+15,3.64952668992951e+15
2.89478050216699e-18,236915121955778,2.09779506965678e+15
4.63123982773746e-18,24357238731776.7,1.24811853452778e+15
7.40932942099263e-18,1274619609753.39,779678186054007
1.18538802806088e-17,35179799298.5311,502210388046943
1.89645337280982e-17,549537960.045802,329221973679241
3.03405746481612e-17,5135894.23124599,218226577024568
4.85406329087192e-17,29635.3348970666,145768336609791
7.76581548142111e-17,107.798307343962,97928579172564.7
1.24242076128033e-16,0.251355270985879,66085780659031.7
1.98769768835393e-16,0.000381059436372595,44752677157344.2
3.18003547865384e-16,3.80189286176625e-07,30373734437830.9
5.08760748918097e-16,2.52263724697491e-10,20620865935718.3
8.13945320349926e-16,1.12328894117235e-13,13968007576090
1.30219751804438e-15,3.38318522571116e-17,9423492865821.6
2.08333205389266e-15,6.9395541046547e-21,6346663922009
3.33303695225497e-15,9.75223154096958e-25,4311247095301.88
5.33238823083432e-15,9.43871092499481e-29,3008974808871.41
8.531067807425e-15,6.32043193360402e-33,2198574594158.24
1.36485032192594e-14,2.94004104608976e-37,1692244757242.7
2.18356768849036e-14,9.53390269208651e-42,1355756022337.01
3.49339980628134e-14,2.16200185426256e-46,1102997238885.24
5.58894614114931e-14,3.43803486004903e-51,883872258280.114
8.94152421732636e-14,3.84324959265567e-56,673760346480.798
1.43051754856583e-13,3.02669466107179e-61,468782004622.801
2.28862597362253e-13,1.6825415642023e-66,283081296454.935
3.66147821981691e-13,6.61373542303413e-72,139729947226.646
5.85784785662174e-13,1.84115773050903e-77,52754471634.5239
9.37172897154195e-13,3.63504892868698e-83,14277980390.9053
1.49934423129061e-12,5.09633143142558e-89,2634146936.49511
2.39873894212133e-12,5.07966124309365e-95,324083481.174153
3.83764341261142e-12,3.60327927054986e-101,26919066.1989858
6.13968727640512e-12,1.82080708237562e-107,1563271.09891003
9.8226322248111e-12,6.56016310684482e-114,65822.960460933
1.57148238143475e-11,1.6865573032905e-120,2063.75355945443
2.51414979064568e-11,3.09632949213e-127,49.0793080728666
4.02228446496023e-11,4.06211813374915e-134,0.897924775570408
6.43508687400262e-11,3.81061872777834e-141,0.0127863196775709
1.02952298467956e-10,2.55761488960188e-148,0.000143119790963068
1.64709132407444e-10,1.22889155286015e-155,1.26987006049864e-06
2.63511341680799e-10,4.22919248030626e-163,8.99622875178261e-09
4.21580917703117e-10,1.0429891580896e-170,5.12038940788428e-11
6.74469907206856e-10,1.84408589002667e-178,2.35406542069957e-13
1.07905656215678e-09,2.33857245625708e-186,8.78268681026755e-16
1.72633804991466e-09,2.12798244006811e-194,2.66984105997716e-18
2.76189698214368e-09,1.3899610662159e-202,6.63625675460882e-21
4.41864496953623e-09,6.51952760643009e-211,1.35294192856856e-23
7.06920768335598e-09,0,0
1.13097335529232e-08,0,0
