output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.23481864866106e-27,2.29186428086407e+19,6.88790038213729e+19,8.4353866534048e-28,61034053515447.5,42657344319210.6
1.47014697785633e-27,3.07907377393361e+19,9.47948807319669e+19,1.00429793549033e-27,82096108883374.6,58680906652702.1
1.75032353037725e-27,4.13819101124853e+19,1.3032056238688e+20,1.19569426354989e-27,110461749609747,80601667534022.1
2.08389535681627e-27,5.52579258252849e+19,1.77743301606019e+20,1.42356637543828e-27,147663153851684,109806535945996
2.48103838107258e-27,7.3084077014436e+19,2.39753760041763e+20,1.69486572534176e-27,195502077182032,147928952650594
2.9538678265302e-27,9.54945134045098e+19,3.19009870667455e+20,2.01786855639512e-27,255699985215669,196585440902993
3.51680780240013e-27,1.23176929407141e+20,4.18380414122084e+20,2.40242837530215e-27,330123106335860,257534760978929
4.18703132480732e-27,1.57009971089803e+20,5.41398074317621e+20,2.86027654287249e-27,421150098888640,332966537013918
4.98498419588159e-27,1.9790128189498e+20,6.91702527433091e+20,3.40538015027302e-27,531237705626373,425169340152129
5.93500872227957e-27,2.46816600299811e+20,8.7310894092814e+20,4.05436809834736e-27,662997419560323,536585287814656
7.06608630026061e-27,3.04762034278075e+20,1.08952029147974e+21,4.82703837795581e-27,819146784413510,669767780016950
8.41272152057651e-27,3.72769113460124e+20,1.34485355313508e+21,5.74696202640206e-27,1.00246833222888e+15,827345036562045
1.00159947636305e-26,4.51812498552466e+20,1.6427328848135e+21,6.84220218420847e-27,1.21558785220953e+15,1.01183463036283e+15
1.19248153953155e-26,5.42755590766438e+20,1.98629554544265e+21,8.1461701877464e-27,1.46082821409561e+15,1.22551732854643e+15
1.41974137934564e-26,6.46269463222389e+20,2.37792961562562e+21,9.69864481363686e-27,1.73999266667064e+15,1.47025378565325e+15
1.69031177205315e-26,7.62692619713085e+20,2.81883372146778e+21,1.15469857679351e-26,2.05399054807085e+15,1.74716996131652e+15
2.0124467232605e-26,8.9186021472162e+20,3.30851565477037e+21,1.37475784387343e-26,2.4023830020315e+15,2.05627509886338e+15
2.39597326417637e-26,1.03289374497714e+21,3.84421091535435e+21,1.63675539857316e-26,2.78282510925974e+15,2.39599262904208e+15
2.85259123448847e-26,1.18393852505437e+21,4.42018384757865e+21,1.94868372397155e-26,3.19037068106836e+15,2.76257339354532e+15
3.3962301970334e-26,1.34185629932717e+21,5.02693679987231e+21,2.32005848850842e-26,3.61665943981273e+15,3.14940285860435e+15
4.04347437227889e-26,1.50191298222282e+21,5.65045302394796e+21,2.76220883044566e-26,4.04909332777122e+15,3.54628521324794e+15
4.81406855564666e-26,1.65750344591747e+21,6.27156972224806e+21,3.28862296393969e-26,4.4701122932805e+15,3.93878482693329e+15
5.73152045116201e-26,1.79999311848344e+21,6.86566269236567e+21,3.91535964976499e-26,4.85677943720679e+15,4.30778375801696e+15
6.8238177961875e-26,1.91879810953636e+21,7.40290937078566e+21,4.66153808299229e-26,5.18099535968656e+15,4.62950303525331e+15
8.12428215380873e-26,2.00185629271526e+21,7.84943994349852e+21,5.54992114210802e-26,5.41074118816474e+15,4.87630475173688e+15
9.67258541861592e-26,2.03664679982839e+21,8.16966880553816e+21,6.60760979214091e-26,5.51276173939899e+15,5.01861809013032e+15
1.15159600453512e-25,2.01186953772053e+21,8.32999046970016e+21,7.86686982521935e-26,5.45697946863266e+15,5.02827141484154e+15
1.37106399195906e-25,1.91975684460394e+21,8.3037502541081e+21,9.3661161590619e-26,5.22256469565657e+15,4.88327761326255e+15
1.63235758255827e-25,1.75872942513679e+21,8.07692822091897e+21,1.11510847203569e-25,4.80490870459252e+15,4.57364444923214e+15
1.94344778432125e-25,1.5357559139509e+21,7.65337969902572e+21,1.32762276624415e-25,4.22182701881881e+15,4.1070875506565e+15
2.31382469793401e-25,1.26744515159412e+21,7.05794685058837e+21,1.58063744797138e-25,3.51646077776361e+15,3.51277652927201e+15
2.75478702127273e-25,9.78826269432288e+20,6.33564006720861e+21,1.8818709692645e-25,2.75415174374312e+15,2.84084132053239e+15
3.27978672686338e-25,6.99239831633729e+20,5.54577968511649e+21,2.240512743454e-25,2.01178211143466e+15,2.15587634551254e+15
3.90483942702018e-25,4.55897405051145e+20,4.75163856405429e+21,2.66750347689445e-25,1.36101414356234e+15,1.5245346290826e+15
4.64901294523912e-25,2.67127230411537e+20,4.00827852241209e+21,3.1758689255543e-25,850656384148909,1.00023561146605e+15
5.53500899817902e-25,1.381966915735e+20,3.35276477445385e+21,3.7811172580153e-25,495658915466392,610615046080286
6.5898557329887e-25,6.18697941374182e+19,2.8004588543381e+21,4.50171214681533e-25,278364096378893,353469015314096
7.84573224648614e-25,2.34334396758128e+19,2.34833640626226e+21,5.35963602023333e-25,161379717962041,203332915980594
9.34095023892657e-25,7.32199458308631e+18,1.98276929622536e+21,6.38106065704449e-25,104693800996664,125063873147260
1.11211227486358e-24,1.83588676703128e+18,1.68743112332084e+21,7.59714558137259e-25,77967896261120.9,87031501413287.6
1.32405556208634e-24,3.58541953298215e+17,1.4481298856387e+21,9.0449886134293e-25,63828944077239.4,67977369754515
1.57639041589287e-24,5.28608584421987e+16,1.25410538267327e+21,1.07687575735892e-24,54624485286282.9,56850791867916
1.87681454953691e-24,5.70151545792534e+15,1.09726538515704e+21,1.28210376635032e-24,47690389670612.2,49112827172450.6
2.23449268521359e-24,436950398359622,9.70991456933866e+20,1.5264435627385e-24,42190481530870,43190227429810.6
2.66033613257368e-24,23253050183279.6,8.69336171583977e+20,1.81734896299272e-24,37772533038390,38503799147401.9
3.1673356485392e-24,850178140361.528,7.86728524193273e+20,2.16369431134777e-24,34183191366505.8,34731855535498.7
3.77095773262381e-24,21552244277.2743,7.18018088852221e+20,2.576045200064e-24,31197735277253.4,31620854059060.4
4.48961644712134e-24,391624795.1882,6.58655200885644e+20,3.06698078280717e-24,28618430203932.9,28955357766199.5
5.3452351554833e-24,5365832.33458634,6.04859803052195e+20,3.65147751362234e-24,26281031460690.3,26558597695782
6.36391531524573e-24,58246.8959179576,5.53708037929324e+20,4.34736601782219e-24,24058498004693,24294499224611
7.57673272766563e-24,517.769288634105,5.03131669201445e+20,5.17587503206788e-24,21860965401274.9,22066798286272.1
9.02068553441502e-24,3.83165030038449,4.51862933907936e+20,6.16227900704894e-24,19633349615933.1,19815994041745.6
1.0739822880868e-23,0.0237792312161316,3.99363354755666e+20,7.33666912849416e-24,17352253923326.7,17515700691019.5
1.27865886769209e-23,0.000124226359065444,3.45758186035932e+20,8.73487127723813e-24,15023120596117.2,15169363036764.7
