output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.667201431610353,19366.2869640535,1.26399999999997
node volumes,particle number concentration in core,particle number concentration in surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,1.01555899129731e-49,1.00271310636842e-48
7.79598121656092e-25,7.49255151236119e-41,6.15251048012183e-40
1.21388760363606e-24,4.47682076267899e-33,3.14453385968555e-32
1.89010603454392e-24,2.92454012777423e-26,1.7993544217795e-25
2.94302438802271e-24,2.70562763244342e-20,1.48759273760119e-19
4.58249028900984e-24,4.43062690253657e-15,2.21379848748085e-14
7.13525084410802e-24,1.5563698391281e-10,7.16741401797764e-10
1.1110073649353e-23,1.38386229637344e-06,5.94335922104944e-06
1.72991446538945e-23,0.00359147234025877,0.0145261969600852
2.69359515698436e-23,3.0750942089169,11.808349072044
4.19411191413801e-23,965.197237621528,3542.18398648656
6.53051914750549e-23,121699.943341398,429130.018347001
1.01684650312201e-22,6707205.0606584,22820152.5646528
1.58329956249559e-22,177514980.391938,584652614.664228
2.46530572402229e-22,2566773387.87954,8202798358.43398
3.83864965093363e-22,23745197504.8138,73746575881.6499
5.9770400883877e-22,159096150960.486,480594859349.799
9.30666027557493e-22,823435977633.658,2419727805219.36
1.44911066688744e-21,3422513880095.35,9778645399025.73
2.25636443440204e-21,11787536422465.4,32708205213651.5
3.51331377041744e-21,34551749614716,92946872695747
5.47046986790319e-21,88232660978676.4,229554007632725
8.51789579046938e-21,200367505718691,502649180980106
1.32629464103247e-20,411937115095385,992856695774535
2.06513148094585e-20,778425302773148,1.79518058706489e+15
3.21555098064306e-20,1.36848544001199e+15,3.00645215993055e+15
5.00683283583419e-20,2.25721675137803e+15,4.70376225004356e+15
7.79598121656094e-20,3.5066212948016e+15,6.90760119406111e+15
1.21388760363606e-19,5.11978675011836e+15,9.52129797468111e+15
1.89010603454393e-19,6.95476891522499e+15,1.22469893230171e+16
2.94302438802271e-19,8.61125566393473e+15,1.45144823130154e+16
4.58249028900985e-19,9.39408973240921e+15,1.55331820648447e+16
7.13525084410804e-19,8.58577305919272e+15,1.46273599023555e+16
1.1110073649353e-18,6.13871081007158e+15,1.1828639660417e+16
1.72991446538946e-18,3.15190752129295e+15,8.16816665302786e+15
2.69359515698436e-18,1.05469012575601e+15,5.00195005960612e+15
4.19411191413802e-18,208584222016153,2.94927335873557e+15
6.5305191475055e-18,22454281877058.8,1.79476948011431e+15
1.01684650312201e-17,1259178390809.79,1.14050871266646e+15
1.5832995624956e-17,37437558789.8385,745505464378620
2.4653057240223e-17,632901249.825535,495416112917739
3.83864965093364e-17,6510568.96491168,332566277275534
5.97704008838771e-17,42287.3184073437,224597659177330
9.30666027557496e-17,177.031952405203,152091149684188
1.44911066688744e-16,0.485229470289488,102977225528981
2.25636443440204e-16,0.000882392445614143,69648850674012.2
3.51331377041745e-16,1.0768774293712e-06,47247072371942.1
5.47046986790321e-16,8.9078518402017e-10,32524838250754.9
8.5178957904694e-16,5.03777606344474e-13,23121101598587.2
1.32629464103247e-15,1.96267133736443e-16,17205514827519.8
2.06513148094585e-15,5.30245125313142e-20,13383514451438
3.21555098064307e-15,9.992022755851e-24,10681022489155.8
5.0068328358342e-15,1.32008483181128e-27,8492925937086.83
7.79598121656096e-15,1.22823932906179e-31,6501063119467.46
1.21388760363606e-14,8.08033386468325e-36,4608740590674.96
1.89010603454393e-14,3.77202182241752e-40,2893132808301.78
2.94302438802272e-14,1.25336553968514e-44,1526445072351.62
4.58249028900986e-14,2.97268475749437e-49,638604614421.514
7.13525084410805e-14,5.04503804096761e-54,199609774770.664
1.1110073649353e-13,6.1402515704602e-59,44248360936.6182
1.72991446538946e-13,5.3700071085937e-64,6728088214.59326
2.69359515698437e-13,3.38067288322028e-69,698330765.868552
4.19411191413803e-13,1.53449806836401e-74,50645902.0446383
6.53051914750552e-13,5.02911941674977e-80,2661709.89518447
1.01684650312201e-12,1.19164773730944e-85,104618.657150273
1.5832995624956e-12,2.04385333095219e-91,3141.37049663789
2.4653057240223e-12,2.54019379004426e-97,73.1237750804398
3.83864965093365e-12,2.28996024149031e-103,1.3348012509969
5.97704008838773e-12,1.49873792362999e-109,0.0192921429284442
9.30666027557498e-12,7.12723273617663e-116,0.000222606582788342
1.44911066688745e-11,2.46459878060188e-122,2.0653092754962e-06
2.25636443440205e-11,6.20167472876297e-129,1.55026049594042e-08
3.51331377041745e-11,1.13630321108211e-135,9.46520678221648e-11
5.47046986790322e-11,1.51693514751392e-142,4.7227748317703e-13
8.51789579046943e-11,1.47629945579227e-149,1.93369421338312e-15
1.32629464103247e-10,1.04796709442437e-156,6.52027124668045e-18
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
