output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
5.23037531810027e-28,1.90963314865313e+17,3.31356624732176e+17,3.57301359178866e-28,460278625602.645,124566856343.845
5.83045791824616e-28,2.86382725312475e+17,5.03932165926754e+17,3.98294656143565e-28,690267904577.043,198191059161.479
6.49938818325306e-28,4.03887168936397e+17,7.20393577443151e+17,4.43991126921814e-28,973488709848.3,295648586533.483
7.24506502729655e-28,5.60594841186985e+17,1.0130869780325e+18,4.94930368119847e-28,1351201005300.25,432817071124.984
8.07629360945216e-28,7.75375924860996e+17,1.41905594050126e+18,5.51713884431712e-28,1868887567604.88,629697225297.862
9.00288930745687e-28,1.09191863654171e+18,2.02286587000851e+18,6.15012191373597e-28,2631850047491.1,930376676519.209
1.00357936204129e-27,1.46115981220312e+18,2.73881353845439e+18,6.85572732917093e-28,3521831565507.83,1303038469572.35
1.11872033690449e-27,1.99212941593145e+18,3.77630298757679e+18,7.64228707515e-28,4801626900089.39,1855085557643.3
1.24707147191435e-27,2.65379882846635e+18,5.08506647334807e+18,8.51908906739844e-28,6396447811214,2574828231069.18
1.39014837288633e-27,3.48272409096668e+18,6.74248600577119e+18,9.49648682712473e-28,8394405276604.99,3513407716030.99
1.5496405315663e-27,4.58084421610706e+18,8.95591547184671e+18,1.05860217382718e-27,11041202763874.8,4795405370969.25
1.72743127561782e-27,5.94303912859923e+18,1.1728048538136e+19,1.1800559331381e-27,14324499362318.5,6443815802092.89
1.92562000747781e-27,7.62412428301757e+18,1.51791375936225e+19,1.31544412033463e-27,18376416689698.5,8546820607048.72
2.14654699468299e-27,9.73322523933437e+18,1.95406561490818e+19,1.46636543669702e-27,23459979939087,11262001992505
2.39282100439833e-27,1.23144314646834e+19,2.49175428629805e+19,1.63460200300462e-27,29681457894884.9,14683113562113.3
2.66735010846358e-27,1.54407483776626e+19,3.14737762141579e+19,1.82214040331257e-27,37216815421116.1,18943164532809.9
2.97337602271243e-27,1.92615461311677e+19,3.95312372373208e+19,2.03119514308751e-27,46426079200022.2,24278615673398.9
3.31451238605257e-27,2.38150232628158e+19,4.91865138535335e+19,2.26423479870258e-27,57401319116371.1,30798643167639.3
3.69478743131655e-27,2.92629853742949e+19,6.07903112692349e+19,2.52401116707221e-27,70532534998204.2,38777117111072.4
4.11869155175281e-27,3.57255580943933e+19,7.46085076761238e+19,2.8135917596336e-27,86109265489932.3,48447176800702.9
4.59123032483505e-27,4.33391052709092e+19,9.09397524537378e+19,3.13639602437291e-27,104460188193800,60073708783303.6
5.11798361950997e-27,5.22528040507054e+19,1.10107504178884e+20,3.49623572361586e-27,125944864589862,73949709984686.6
5.70517148483798e-27,6.26556936755168e+19,1.32516072295445e+20,3.89735994437492e-27,151018935712797,90435849349198.2
6.35972759805841e-27,7.47005055229166e+19,1.58488527964171e+20,4.34450527274772e-27,180050529800246,109852502844130
7.08938113937419e-27,8.85841971660254e+19,1.88434742975302e+20,4.84295172483998e-27,213514373430570,132593821414321
7.90274806025628e-27,1.04524428643014e+20,2.22800386414179e+20,5.39858509466067e-27,251935092306291,159096209546867
8.80943282298932e-27,1.22736171149418e+20,2.62015042370032e+20,6.01796645521081e-27,295830831216088,189803015550915
9.82014181282718e-27,1.43430820218805e+20,3.06487856075003e+20,6.70840963345396e-27,345711116535312,225161067836039
1.09468097619607e-26,1.66876747257144e+20,3.56734642382884e+20,7.47806757401432e-27,402222803509314,265715051093284
1.2202740678147e-26,1.93306527088743e+20,4.13177477132756e+20,8.33602861140907e-27,465926466929951,311962481260768
1.36027649421243e-26,2.22986963173872e+20,4.76291996710299e+20,9.29242378762404e-27,537465182825126,364462634499952
1.51634144288629e-26,2.56199693103444e+20,5.46563769122533e+20,1.03585464822685e-26,617517781908239,423806538293343
1.69031177205317e-26,2.93210016280788e+20,6.24419858801473e+20,1.15469857679352e-26,706723714980737,490564856170191
1.88424177163096e-26,3.34303087525792e+20,7.10304568431654e+20,1.28717750654625e-26,805770290328375,565346378871188
2.10042142086395e-26,3.79764194244763e+20,8.04636285763609e+20,1.43485578544615e-26,915345135809779,648765276317023
2.3414034290331e-26,4.29865475990341e+20,9.07779141014728e+20,1.5994772395864e-26,1.03610418902924e+15,741417667529591
2.61003337855554e-26,4.84873637059584e+20,1.02006023842146e+21,1.78298576477457e-26,1.16869028700171e+15,843893921368842
2.9094833264113e-26,5.4504072522896e+20,1.1417521269861e+21,1.98754828059373e-26,1.31371094014991e+15,956762603444565
3.24328926067228e-26,6.10582818928092e+20,1.27303187954757e+21,2.21558031799011e-26,1.47168696202738e+15,1.08053294792208e+15
3.61539285443051e-26,6.81683370428515e+20,1.41399401519807e+21,2.46977454253278e-26,1.6430605274019e+15,1.21566038268269e+15
4.03018801016773e-26,7.58472197600551e+20,1.56461498671712e+21,2.75313255015574e-26,1.82814453611484e+15,1.36250979647402e+15
4.49257274417506e-26,8.41007593697031e+20,1.72472753127255e+21,3.06900031083564e-26,2.02707949231651e+15,1.52132407745873e+15
5.00800702368835e-26,9.29258282313535e+20,1.89399845989145e+21,3.42110767873361e-26,2.23979001053066e+15,1.69219257966969e+15
5.58257723969636e-26,1.02308338034294e+21,2.07190644657357e+21,3.81361243534813e-26,2.46593652039024e+15,1.8750163582822e+15
6.22306807673423e-26,1.12219887588924e+21,2.25769713279498e+21,4.2511493857526e-26,2.70483446839743e+15,2.06944898588823e+15
6.93704262832108e-26,1.22615464652755e+21,2.45036482079689e+21,4.73888508765967e-26,2.95539892506607e+15,2.27485652390763e+15
7.73293170406676e-26,1.33429993466648e+21,2.64861590900318e+21,5.28257885956824e-26,3.21606137023306e+15,2.49025626044738e+15
8.62013338301098e-26,1.44574744169326e+21,2.85083472693981e+21,5.88865078839433e-26,3.484683149224e+15,2.71425210111049e+15
9.60912398874833e-26,1.55934014043579e+21,3.05505904049329e+21,6.56425753963878e-26,3.75847548097413e+15,2.94497368057462e+15
