output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.158899024059391,57492.3604841302,3.90399999999968
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
1.13097335529233e-28,0,0
1.13097335529233e-28,0,0
1.80939758410655e-28,-2.27270197086973e-322,-5.20021381467487e-313
2.894780502167e-28,3.70549234380935e-322,5.20021381467487e-313
4.63123982773747e-28,2.99631352954613e-292,7.01195991144719e-295
7.40932942099265e-28,1.70182574136926e-247,3.72004646983694e-247
1.18538802806088e-27,3.91035527236056e-209,8.44942231737949e-209
1.89645337280983e-27,2.90528632727118e-176,6.26997272335983e-176
3.03405746481612e-27,4.12263461175664e-148,8.96369262824033e-148
4.85406329087193e-27,5.1022280587194e-124,1.12575537022209e-123
7.76581548142113e-27,2.01783498840652e-103,4.54483337759688e-103
1.24242076128033e-26,7.7382709528328e-86,1.78772688877184e-85
1.98769768835393e-26,7.43550116011762e-71,1.76856957939728e-70
3.18003547865385e-26,4.04587063214339e-58,9.93588392388857e-58
5.08760748918098e-26,2.55106691751354e-47,6.48133840551554e-47
8.13945320349928e-26,3.62195991595237e-38,9.53176468224968e-38
1.30219751804438e-25,2.17795600119191e-30,5.94029711418209e-30
2.08333205389267e-25,9.47523952004971e-24,2.6782645898518e-23
3.33303695225498e-25,4.47256267460059e-18,1.30935227367713e-17
5.33238823083433e-25,3.17091143717624e-13,9.60360635016115e-13
8.53106780742502e-25,4.44548187031886e-09,1.39070226485762e-08
1.36485032192595e-24,1.55806148942885e-05,5.02458106506588e-05
2.18356768849036e-24,0.0166858551476273,0.0553394050125516
3.49339980628135e-24,6.48456073335663,22.0575600547521
5.58894614114933e-24,1059.55807240492,3685.29774589042
8.94152421732638e-24,82569.7334769025,292675.861456413
1.43051754856583e-23,3418410.35491992,12303450.7444888
2.28862597362253e-23,82460444.9127589,300175323.40058
3.66147821981691e-23,1254391742.38559,4598818623.79533
5.85784785662176e-23,12876975539.1372,47328953894.2082
9.37172897154197e-23,94540233782.0448,346650432890.391
1.49934423129061e-22,521785604365.403,1898539172520.36
2.39873894212133e-22,2259663823923.7,8111853579927.95
3.83764341261142e-22,7966799216377.06,28040478911143.7
6.13968727640513e-22,23605722428750.5,80904584815481
9.82263222481112e-22,60416255847037.5,200134468806332
1.57148238143475e-21,136750657336354,434299864235450
2.51414979064568e-21,279259810239877,842940375950188
4.02228446496024e-21,522912503252086,1.48680769439794e+15
6.43508687400263e-21,908568975045746,2.41250641841772e+15
1.02952298467956e-20,1.47442611341863e+15,3.63000666018593e+15
1.64709132407445e-20,2.23350698277474e+15,5.07972988866063e+15
2.63511341680799e-20,3.12690042614358e+15,6.58932089648025e+15
4.21580917703118e-20,3.95535258916347e+15,7.83876508670134e+15
6.74469907206858e-20,4.34743310111558e+15,8.39408681121557e+15
1.07905656215678e-19,3.91297183578986e+15,7.90117463349679e+15
1.72633804991466e-19,2.65854628887822e+15,6.41827788887673e+15
2.76189698214369e-19,1.23262114520108e+15,4.53933751239086e+15
4.41864496953624e-19,349179997103114,2.95239445471163e+15
7.06920768335599e-19,54564160915455.5,1.90137537844368e+15
1.13097335529232e-18,4394142721862.66,1.2563548027186e+15
1.80939758410654e-18,181143488461.504,849449074571254
2.89478050216699e-18,4036223331.63178,582609622234984
4.63123982773746e-18,52102551.3710255,403252958294492
7.40932942099263e-18,407844.301422141,280862768218352
1.18538802806088e-17,1987.34512218079,196522705838779
1.89645337280982e-17,6.1438243899557,138006842648956
3.03405746481612e-17,0.0122410194128361,97197555681456.3
4.85406329087192e-17,1.59303401678989e-05,68606586389082.3
7.76581548142111e-17,1.36979659072612e-08,48477217972248.7
1.24242076128033e-16,7.86000483682782e-12,34222060115847.6
1.98769768835393e-16,3.03572248632702e-15,24065863831578
3.18003547865384e-16,7.95100099408732e-19,16809715490539.2
5.08760748918097e-16,1.42145203810374e-22,11657183988882.7
8.13945320349926e-16,1.74447598620412e-26,8069892701592.34
1.30219751804438e-15,1.47701018886701e-30,5651719820239.64
2.08333205389266e-15,8.66533175683644e-35,4078515729204.66
3.33303695225497e-15,3.53621062966196e-39,3078110988307.2
