output1,output2,output3
d_lock/d_0,surfaceShellWidth [nm],time [s]
0.386394114244271,42586.095008073,1.9379999999999
particle size,particle number concentration in droplet core,particle number concentration in droplet surface shell 
[m³],[#/m³],[#/m³]
3.21555098064305e-25,0,0
3.21555098064305e-25,0,0
5.00683283583417e-25,1.71971499954971e-49,9.65787153416228e-49
7.79598121656092e-25,1.07706470241054e-40,5.35885404133502e-40
1.21388760363606e-24,5.58745941329774e-33,2.50854022609417e-32
1.89010603454392e-24,3.23120064041667e-26,1.32942343196939e-25
2.94302438802271e-24,2.69096112621739e-20,1.02788283076874e-19
4.58249028900984e-24,4.02449050504357e-15,1.44281498945384e-14
7.13525084410802e-24,1.30730670284336e-10,4.43895418753396e-10
1.1110073649353e-23,1.0865431615031e-06,3.52059587984524e-06
1.72991446538945e-23,0.00266039745245475,0.00827672991066696
2.69359515698436e-23,2.16636126254184,6.5036066793005
4.19411191413801e-23,651.162904608532,1893.85499152106
6.53051914750549e-23,79096.5295804279,223551.424857212
1.01684650312201e-22,4221246.72730303,11619890.6100322
1.58329956249559e-22,108667592.009748,291785589.65147
2.46530572402229e-22,1534226897.84517,4021851905.35272
3.83864965093363e-22,13904643766.1378,35593240675.5426
5.9770400883877e-22,91532668430.0927,228715170157.183
9.30666027557493e-22,466618179859.625,1137053550440.49
1.44911066688744e-21,1914395416209.8,4542476288070.65
2.25636443440204e-21,6520485540714.23,15034014799727.8
3.51331377041744e-21,18932463048440.6,42303396635796.8
5.47046986790319e-21,47958343498197.9,103511031860822
8.51789579046938e-21,108167042969951,224644112011643
1.32629464103247e-20,221099891323390,439891799487549
2.06513148094585e-20,415758141642818,788566748240727
3.21555098064306e-20,727804037677903,1.30932820805129e+15
5.00683283583419e-20,1.19582936822569e+15,2.03078296014291e+15
7.79598121656094e-20,1.85068423379945e+15,2.95609797567557e+15
1.21388760363606e-19,2.69077569824238e+15,4.03855664451554e+15
1.89010603454393e-19,3.63640594309249e+15,5.14877348034848e+15
2.94302438802271e-19,4.4716911806549e+15,6.04916117595929e+15
4.58249028900985e-19,4.83182695807041e+15,6.42067537095322e+15
7.13525084410804e-19,4.35748264979775e+15,6.00428630828109e+15
1.1110073649353e-18,3.05899193142519e+15,4.83802130913305e+15
1.72991446538946e-18,1.53303869732458e+15,3.35548853598097e+15
2.69359515698436e-18,497547668220101,2.0927679164314e+15
4.19411191413802e-18,94877352374389.5,1.27367278927666e+15
6.5305191475055e-18,9806663160746.31,801993407086801
1.01684650312201e-17,527553851998.177,524600913512143
1.5832995624956e-17,15096571359.019,351422272928190
2.4653057240223e-17,246866601.450118,238819607631380
3.83864965093364e-17,2464332.2220499,163841295535741
5.97704008838771e-17,15557.4793076998,113156579823796
9.30666027557496e-17,63.3727805453983,78532258785739.6
1.44911066688744e-16,0.16916604687652,54681720578822.5
2.25636443440204e-16,0.000299833462196169,38127361995692.7
3.51331377041745e-16,3.56885446143782e-07,26555939842203.1
5.47046986790321e-16,2.880936436315e-10,18431919919274
8.5178957904694e-16,1.59081342173417e-13,12744575252704
1.32629464103247e-15,6.05398832456739e-17,8822150179814.73
2.06513148094585e-15,1.59828566917692e-20,6190476550877.75
3.21555098064307e-15,2.94418025174475e-24,4481333940467.64
5.0068328358342e-15,3.80345067590458e-28,3394433174072.12
7.79598121656096e-15,3.4613071014171e-32,2694819826145.09
1.21388760363606e-14,2.22777010772428e-36,2215501726147.38
1.89010603454393e-14,1.01763072423244e-40,1848595586492.43
2.94302438802272e-14,3.30940178340662e-45,1528883490650.13
4.58249028900986e-14,7.6833071614641e-50,1220379085869.49
7.13525084410805e-14,1.27660177138389e-54,910837940422.875
1.1110073649353e-13,1.52133925688399e-59,611264914804.541
1.72991446538946e-13,1.30291165024832e-64,351570439835.495
2.69359515698437e-13,8.03321748318974e-70,163785512110.851
4.19411191413803e-13,3.57141631254728e-75,58122765839.2991
6.53051914750552e-13,1.14654553261727e-80,14811030294.3263
1.01684650312201e-12,2.66137708252604e-86,2589517357.49948
1.5832995624956e-12,4.4719633185024e-92,304614098.115142
2.4653057240223e-12,5.4454455589616e-98,24424379.2192876
3.83864965093365e-12,4.80992421882782e-104,1384549.21525727
5.97704008838773e-12,3.08463101949824e-110,57679.0390731189
9.30666027557498e-12,1.43743200008448e-116,1815.09555634329
1.44911066688745e-11,4.87103625485271e-123,43.9234736804127
2.25636443440205e-11,1.20118886918219e-129,0.828146888187945
3.51331377041745e-11,2.15695362228402e-136,0.0122973616597375
5.47046986790322e-11,2.82210860055147e-143,0.000145144210129773
8.51789579046943e-11,2.69188253069587e-150,1.37247677492574e-06
1.32629464103247e-10,1.87291497415457e-157,1.04688139409164e-08
2.06513148094586e-10,0,0
3.21555098064308e-10,0,0
